"Chapter_Number","Volume","Name","Romanized_title","Viz_title","Pages","Date","Episodes"
527,"54","Level 1 Crimson Hell","Reberu Wan Guren Jigoku","Level 1: Crimson Hell","19","January 5, 2009","2009 Issue 6"
528,"54","Jinbe, Knight of the Sea","Kaikyo no Jinbe","Jimbei, First Son of the Sea","19","January 19, 2009","2009 Issue"
529,"54","Level 2 Wild Beast Hell","Reberu Tsu Moju Jigoku","Level 2: Beast Hell","19","January 26, 2009","2009 Issue"
530,"54","From One Hell to Another","Jigoku-e Jigoku-e","From One Hell to Another","19","February 2, 2009","2009 Issue "
531,"54","Level 3 Starvation Hell","Reberu Suri Kiga Jigoku","Level 3: Starvation Hell","19","February 9, 2009","2009 Issue "
532,"54","Jailer Beast Minotaurus","Gokusotsuju Minotaurosu","Jailer Beast Minotaur","19","February 16, 2009","2009 Issue "
533,"55","Level 4 Inferno Hell","Reberu Fo Shonetsu Jigoku","Level 4: Inferno Hell","19","February 23, 2009","2009 Issue "
534,"55","Chief Warden Magellan vs. Pirate Luffy","Kangoku Shocho Mazeran Basasu Kaizoku Rufi","Warden Magellan vs. Pirate Luffy","19","March 9, 2009","2009 Issue "
535,"55","Friend","Dachi","Friend","19","March 16, 2009","2009 Issue "
536,"55","Level 5 Frozen Hell","Reberu Faibu Gokkan Jigoku","Level 5: Frozen Hell","19","March 23, 2009","2009 Issue "
537,"55","Okama in Hell","Jigoku ni Okama","A Ray of Hope","19","March 30, 2009","2009 Issue "
538,"55","Level 5.5 Newkama Land","Reberu Go ten Go Banchi Nyukama Rando","Level 5.5 New Kama Land","19","April 6, 2009","2009 Issue "
539,"55","Emporio Tension Hormone","Enporio Tenshon Horumon","Emporio Energy Synthesis","19","April 13, 2009","2009 Issue "
540,"55","Level 6 Eternal Hell","Reberu Shikkusu Mugen Jigoku","Level 6: Infinite Hell","19","April 27, 2009","2009 Issue 22-"
541,"55","The Likes of Which It Has Never Seen","Imada Katsute Nasshiburu","The Greatest Ever","19","May 11, 2009","2009 Issue "
542,"56","Another Incident to Be Told","Yagate Katarareru Mou Hitotsu no Jiken","Yet Another Epic Incident","19","May 18, 2009","2009 Issue "
543,"56","Straw Hat and Blackbeard","Mugiwara to Kurohige","Straw Hat and Blackbeard","19","May 25, 2009","2009 Issue "
544,"56","The Lid to the Cauldron of Hell Opens","Jigoku no Kama no Futa mo Aku","The Lid to the Cauldron of Hell Opens","19","June 1, 2009","2009 Issue "
545,"56","To the Sunshine in Outside World","Hi no Ataru Shaba-e","To Sunshine and Freedom","19","June 8, 2009","2009 Issue "
546,"56","Fish-Man Pirate Captain Jinbe, Warlord of the Sea","Gyojin Kaizoku-dan Sencho ""Shichibukai"" Jinbe","Fish-Man Pirate Captain Jimbei, Warlord of the Sea","17","June 15, 2009","2009 Issue "
547,"56","Escaping the Island","Shimayaburi","Island Ripper","19","June 22, 2009","2009 Issue "
548,"56","Thank You","Arigato","Thank You","19","June 29, 2009","2009 Issue "
549,"56","Ship Sailing Forth","Shutsugeki no Fune","Battleship","19","July 6, 2009","2009 Issue "
550,"56","Marine Headquarters","Kaigun Honbu","Navy Headquarters","19","July 18, 2009","2009 Issue "
551,"56","Whitebeard of the Four Emperors","Yonko ""Shirohige""","Whitebeard of the Four Emperors","19","July 27, 2009","2009 Issue "
552,"57","Ace and Whitebeard","Esu to Shirohige","Ace and Whitebeard","19","August 3, 2009","2009 Issue "
553,"57","Summit Battle","Chojo Kessen","Summit Battle","17","August 10, 2009","2009 Issue 37-"
554,"57","Admiral Akainu","Taisho Akainu","Admiral Akainu","15","August 24, 2009","2009 Issue "
555,"57","Oars and the Kasa","Ozu to kasa","Oars and the Hat","19","August 31, 2009","2009 Issue "
556,"57","Justice Will Prevail!!","Seigi wa Katsu!!","Justice Will Prevail!","17","September 7, 2009","2009 Issue "
557,"57","Luffy and Whitebeard","Rufi to Shirohige","Luffy and Whitebeard","17","September 19, 2009","2009 Issue "
558,"57","Little Brother","Ototo","Little Brother","17","September 28, 2009","2009 Issue "
559,"57","Destiny","Tenmei","Destiny","17","October 5, 2009","2009 Issue "
560,"57","Prisoners of Impel Down","Inperu Daun no Shujin-tachi","Prisoners of Impel Down","17","October 10, 2009","2009 Issue "
561,"57","Luffy vs. Mihawk","Rufi Basasu Mihoku","Luffy vs. Mihawk","17","October 26, 2009","2009 Issue "
562,"57","Pirate Maelstrom Spider Squard","Kaizoku O Uzu Gumo Sukuado","Whirl Spider Squard","17","November 2, 2009","2009 Issue "
563,"58","One Heart, One Man","Shinzo Hitotsu Ningen Hitori","One Man, One Heart","17","November 9, 2009","2009 Issue "
564,"58","The Man Who Shook the World","Sekai o yurasu otoko","The Man Who Shook The World","17","November 21, 2009","2009 Issue "
565,"58","Oars' Path","Ozu no Michi","Oars' Path","17","November 30, 2009","2009 Issue "
566,"58","Raid","Moko","Raid","19","December 7, 2009","2010 Issue"
567,"58","Marineford Marine Headquarters - Oris Plaza","Marinfodo Kaigun Honbu Orisu Hiroba","Marineford Navy Headquarters - Oris Plaza","19","December 14, 2009","2010 Issue"
568,"58","Have It Your Way!","Katteni Shiyagare","Have It Your Way!","15","December 21, 2009","2010 Issue 3"
569,"58","White Monster","Shiroi Kaibutsu","White Monster","15","January 4, 2010","2010 Issue 5"
570,"58","The Bridge of Life","Inochi no Kakehashi","The Bridge of Life","15","January 18, 2010","2010 Issue"
571,"58","The Execution Platform","Shokeidai","The Execution Platform","17","January 25, 2010","2010 Issue"
572,"58","The Times They Are A-Changin'","Za Taimuzu Zei A E-Chenjin -Jidai wa Kawaru-","The Times They Are A'Changin","17","February 1, 2010","2010 Issue"
573,"58","The Name of This Era is ""Whitebeard""","Kono Jidai no Na o ""Shirohige"" to Yobu","The Name of This Era is ""Whitebeard""","17","February 8, 2010","2010 Issue "
574,"59","Portgas D. Ace Dies","Potogasu Di Esu Shisu","The Death of Portgaz D. Ace","17","February 15, 2010","2010 Issue "
575,"59","Voiceless Rage","Kotoba Naki Ikari","Voiceless Rage","15","February 22, 2010","2010 Issue "
576,"59","The Great Pirate Edward Newgate","Daikaizoku Edowado Nyugeto","The Great Pirate Edward Newgate","17","March 8, 2010","2010 Issue "
577,"59","Outrageous Events One After Another","Tatamikakeru Daijiken","Outrageous Events One After Another","17","March 15, 2010","2010 Issue "
578,"59","A Gift for the New Era","Shinjidai e Okuru Mono","A Gift for the New Era","19","March 20, 2010","2010 Issue "
579,"59","Seconds of Courage","Yuki Aru Subyo","A Few Seconds of Courage","17","March 29, 2010","2010 Issue "
580,"59","The War's Conclusion","Shusen","The War's Conclusion","15","April 5, 2010","2010 Issue "
581,"59","Creeping Future","Shinobiyoru Mirai","Creeping Future","17","April 19, 2010","2010 Issue "
582,"59","Luffy and Ace","Rufi to Esu","Luffy and Ace","19","April 26, 2010","2010 Issue 21-"
583,"59","Gray Terminal - The Final Destination of the Uncertainty","Futashikana Mono no Shuchakueki (Gurei Taminaru)","Gray Terminal","17","May 10, 2010","2010 Issue "
584,"59","Incident With Porchemy","Porushemi no Ikken","Incident With Porchemy","17","May 17, 2010","2010 Issue "
585,"60","Brothers' Sake Cups","Kyodai Sakazuki","Brotherly Pact","19","May 24, 2010","2010 Issue "
586,"60","City of Stench","Akushu no Suru Machi","City of Stench","19","May 31, 2010","2010 Issue "
587,"60","I Will Not Run Away","Ore wa Nigenai","I Will Never Run Away","19","June 7, 2010","2010 Issue "
588,"60","Sabo's Ocean","Sabo no Umi","Sabo's Ocean","19","June 14, 2010","2010 Issue "
589,"60","Will of the Winds","Fuun no Kokorozashi","Will of the Winds","19","June 28, 2010","2010 Issue "
590,"60","My Little Brother","Ototo yo","My Little Brother","19","July 5, 2010","2010 Issue "
591,"60","Are You Sure About That?","Sore de Iinoka","Are You Sure About That?","19","July 12, 2010","2010 Issue "
592,"60","Yell","Eru","Cheer","19","July 17, 2010","2010 Issue "
593,"60","NEWS","Nyusu","News","19","July 26, 2010","2010 Issue "
594,"60","Message","Messeji","Message","19","August 2, 2010","2010 Issue "
595,"61","The Pledge","Sensei","The Pledge","19","August 9, 2010","2010 Issue 36-"
596,"61","SPECTRUM","Supekutoru","Spectrum","19","August 23, 2010","2010 Issue "
597,"61","3D2Y","Suri-Di Tsu-Wai","3D2Y","19","August 30, 2010","2010 Issue "
598,"61","2 Years Later","Ninen-go","Two Years Later","24","October 4, 2010","2010 Issue "
599,"61","Nine Pirates","Kyunin no Kaizoku","Nine Pirates","19","October 9, 2010","2010 Issue "
600,"61","Island of New Beginnings","Saishuppatsu no Shima","Island of New Beginnings","19","October 18, 2010","2010 Issue "
601,"61","Romance Dawn For the New World:The Dawn of an Adventureinto a New World","Romansu Don fo za nyu warudo: Atarashii Sekai e no Boken no Yoake","Romance Dawn For The New World","19","October 25, 2010","2010 Issue "
602,"61","Downward Ho!!","Shimokaji Ippai!!","Downward Ho!","17","November 1, 2010","2010 Issue "
603,"61","Keep It In Your Heart","Kokoro ni Tometeoke","Keep That In Mind","17","November 8, 2010","2010 Issue "
604,"62","Into the Depths","Shinso e","To The Deep Sea","19","November 15, 2010","2010 Issue "
605,"62","The Kraken and the Pirates","Kuraken to Kaizoku","The Kraken and the Pirates","19","November 29, 2010","2010 Issue "
606,"62","Deep Sea Adventure","Shinkai no Boken","Deep Sea Adventure","17","December 6, 2010","2011 Issue"
607,"62","10,000 Meters Under the Sea","Kaitei Ichiman Metoru","30,000 Feet Under the Sea","17","December 13, 2010","2011 Issue"
608,"62","Underwater Paradise","Kaitei no Rakuen","Underwater Paradise","17","December 20, 2010","2011 Issue 3"
609,"62","Adventure on Fish-Man Island","Gyojinto no Boken","Adventure On Fish-Man Island","19","January 4, 2011","2011 Issue 5"
610,"62","Madam Shyarly, Fortune-Teller","Uranaishi Madamu Shari","Madam Sharley, Fortune-Teller","15","January 17, 2011","2011 Issue"
611,"62","Hody Jones","Hodi Jonzu","Hody Jones","17","January 24, 2011","2011 Issue"
612,"62","Taken by the Shark They Saved","Tasuketa Same ni Tsurerarete","Taken by the Shark They Saved","19","January 31, 2011","2011 Issue"
613,"62","The Mermaid Princessin Hard-Shell Tower","Kokakuto no Ningyo Hime","Mermaid Princess of Shell Tower","17","February 7, 2011","2011 Issue "
614,"62","What's Done is Done","Yatchimatta Mon wa Shogane","Too Late Now","17","February 14, 2011","2011 Issue "
615,"63","Mato Mato Curse","Mato Mato no Noroi","Mark-Mark Curse","17","February 21, 2011","2011 Issue "
616,"63","Anniversary for Revenge","Fukushu no Kinenbi","Anniversary for Revenge","17","February 28, 2011","2011 Issue "
617,"63","Major Incident on Coral Hill","Sangogaoka de Daijiken","Incident at Coral Hill","17","March 14, 2011","2011 Issue "
618,"63","Proposal","Puropozu","Proposal","19","March 19, 2011","2011 Issue "
619,"63","At the Sea Forest","Umi no Mori nite","At the Forest of the Sea","17","April 4, 2011","2011 Issue "
620,"63","The Longed-For Amusement Park","Akogare no Yuenchi","The Wonderful Amusement Park","17","April 11, 2011","2011 Issue "
621,"63","Otohime and Tiger","Otohime to Taiga","Otohime and Tiger","17","April 18, 2011","2011 Issue "
622,"63","The Sun Pirates","Taiyo no Kaizoku-dan","The Sun Pirates","19","April 25, 2011","2011 Issue 20-"
623,"63","Fisher Tiger the Pirate","Kaizoku Fissha Taiga","Fisher Tiger the Pirate","19","May 9, 2011","2011 Issue "
624,"63","Queen Otohime","Otohime Ohi","Queen Otohime","17","May 16, 2011","2011 Issue "
625,"63","Uninherited Will","Uketsuganai Ishi","Uninherited Will","19","May 23, 2011","2011 Issue "
626,"63","The Three Neptune Brothers","Nepuchun San Kyodai","Neptune Brothers","19","May 30, 2011","2011 Issue "
627,"64","You Have My Gratitude","Katajikenai","Thank You","19","June 6, 2011","2011 Issue "
628,"64","Spring Cleaning","Osoji","Spring Cleaning","19","June 20, 2011","2011 Issue "
629,"64","Former Warlord in the Way","Tachifusagaru Moto Shichibukai","Former Warlord in the Way","19","June 27, 2011","2011 Issue "
630,"64","Getting Violent","Abaredasu","Getting Violent","19","July 4, 2011","2011 Issue "
631,"64","Gyoncorde Plaza","Gyonkorudo Hiroba","Conchcorde Plaza","19","July 11, 2011","2011 Issue "
632,"64","I Knew","Shitteta","I Knew","19","July 16, 2011","2011 Issue "
633,"64","Friend or Foe","Teki ka Mikata ka","Friend or Foe","19","August 1, 2011","2011 Issue "
634,"64","100,000 vs. 10","Juman Basasu Ju","100,000 vs. 10","19","August 8, 2011","2011 Issue 35-"
635,"64","So Scared I Ran Up to the Sky","Sora o Tobu Hodo Ozamashi","So Scared I Ran Up to the Sky","19","August 22, 2011","2011 Issue "
636,"64","General from Futureland","Miraikoku kara Kita Shogun","General from Futureland","19","August 29, 2011","2011 Issue "
637,"65","The Ancient Ark","Inishie no Hakobune","The Ancient Ark","19","September 5, 2011","2011 Issue "
638,"65","Escape-Hoshi","Nigehoshi","Escape-Hoshi","19","September 12, 2011","2011 Issue "
639,"65","Protect Everything","Zenbu Mamoru","Protect Everything","19","September 17, 2011","2011 Issue "
640,"65","Above Fish-Man Island","Gyojinto Chokujo","Above Fish-Man Island","19","September 26, 2011","2011 Issue "
641,"65","What Are You?","Omae wa Nanda","What Are You?","19","October 8, 2011","2011 Issue "
642,"65","Lost All Face","Menmoku nado Marutsubure","Lost All Face","19","October 17, 2011","2011 Issue "
643,"65","Phantom","Fantomu","Phantom","19","October 24, 2011","2011 Issue "
644,"65","To Zero","Zero ni","To Nothing","19","October 31, 2011","2011 Issue "
645,"65","Death Is Another Form of Revenge","Shi mo Mata Fukushu","Death Is Another Form of Revenge","19","November 7, 2011","2011 Issue "
646,"65","Frog","Kaeru","Frog","19","November 21, 2011","2011 Issue "
647,"66","Stop, Noah","Tomare Noa","Stop, Noah","19","November 28, 2011","2011 Issue "
648,"66","The Road Toward the Sun","Taiyo e to Tsuzuku Michi","The Road Toward the Sun","19","December 5, 2011","2012 Issue"
649,"66","The Dance of Sea Breams and Flounders","Tai ya Hirame no Maiodori","The Dance of Breams and Plaices","19","December 12, 2011","2012 Issue"
650,"66","Two Changes to Be Aware Of","Shitteokubeki Futatsu no Henka","Two Changes to Be Aware Of","17","December 19, 2011","2012 Issue 3"
651,"66","A Voice From the New World","Shin Sekai kara no Koe","A Voice From the New World","19","January 4, 2012","2012 Issue 5"
652,"66","Grim Premonitions","Zento Tanan no Yokan","A Premonition of Stormy Seas","17","January 16, 2012","2012 Issue"
653,"66","The Hero Hat","Hiro no Boshi","The Hero Hat","19","January 23, 2012","2012 Issue"
654,"66","Gam","Gamu (Shogun)","A Gam of Whales","19","January 30, 2012","2012 Issue"
655,"66","Punk Hazard","Panku Hazado","Punk Hazard","19","February 6, 2012","2012 Issue "
656,"66","Adventure on the Burning Island","Moeru Shima no Boken","Adventure on the Burning Island","19","February 13, 2012","2012 Issue "
657,"67","Severed Head","Namakubi","Severed Head","17","February 20, 2012","2012 Issue "
658,"67","Biscuits Room","Bisuketto Rumu","The Biscuits Room","19","March 5, 2012","2012 Issue "
659,"67","About My Torso","Dotai no Hanashi","About My Torso","19","March 12, 2012","2012 Issue "
660,"67","Trafalgar Law, Warlord of the Sea","""Oka Shichibukai"" Torafaruga Ro","Trafalgar Law, Warlord of the Sea","19","March 19, 2012","2012 Issue "
661,"67","The Lake of Bandits","Oihagi no Deru Mizuumi","Lakeside Bandits","19","March 26, 2012","2012 Issue "
662,"67","Warlord Law Vs. Vice Admiral Smoker","Shichibukai Ro Basasu Sumoka Chujo","Warlord Law Vs. Vice Admiral Smoker","19","April 2, 2012","2012 Issue "
663,"67","CC","Shi-Shi","CC","19","April 16, 2012","2012 Issue "
664,"67","Master Caesar Clown","Masuta Shiza Kuraun","Master Caesar Clown","19","April 23, 2012","2012 Issue 21-"
665,"67","CANDY","Kyandi","Candy","17","May 7, 2012","2012 Issue "
666,"67","Yeti Cool Brothers","Ieti Kuru Burazazu","Yeti Cool Brothers","17","May 14, 2012","2012 Issue "
667,"67","COOL FIGHT","Kuru Faito","Cool Fight","19","May 21, 2012","2012 Issue "
668,"68","Pirate Alliance","Kaizoku Domei","Pirate Alliance","19","May 28, 2012","2012 Issue "
669,"68","Commence Operation","Sakusen Kaishi","Commence Operation","17","June 4, 2012","2012 Issue "
670,"68","Blizzard With a Chance of Slime","Fubuki Tokidoki Suraimu","Blizzard With a Chance of Slime","17","June 11, 2012","2012 Issue "
671,"68","Gasu Gasu no Mi","Gasu Gasu no Mi","Gas-Gas Fruit","17","June 18, 2012","2012 Issue "
672,"68","My Name Is Kin'emon!!","Sessha!! Na o Kin'emon to Mosu!!","My Name Is Kin'emon!!","19","July 2, 2012","2012 Issue "
673,"68","Vergo and Joker","Verugo to Joka","Vergo and Joker","19","July 9, 2012","2012 Issue "
674,"68","The Observers","Bokansha-tachi","The Observers","17","July 14, 2012","2012 Issue "
675,"68","I Call It ""Shinokuni""","Sono Na mo 'Shinokuni'","I Call It Land of the Dead","19","July 30, 2012","2012 Issue "
676,"68","The Perfect Weapon of Mass Murder","Kanzen naru Satsuriku Heiki","The Perfect Weapon of Mass Murder","19","August 6, 2012","2012 Issue 36-"
677,"68","COUNTER HAZARD!!","Kaunta Hazado!!","Counter Hazard!!","19","August 20, 2012","2012 Issue "
678,"68","Lobby of Laboratory Building A","Kenkyujo-nai E-To Robi","Lobby of Laboratory Building A","17","August 27, 2012","2012 Issue "
679,"69","The G-5 Spirit","Kokoroiki Ji-Faibu","The G-5 Spirit","19","September 3, 2012","2012 Issue "
680,"69","Marine G-5 Base Commander Vergo the Demon Bamboo","Kaigun Ji-Faibu Kichicho ""Kichiku no Verugo""","G-5 Commander Vergo the Bamboo Demon","19","September 10, 2012","2012 Issue "
681,"69","Luffy vs. Master","Rufi Basasu Masuta","Luffy vs. Master","19","September 15, 2012","2012 Issue "
682,"69","Puppet Master","Kuromaku","Puppet Master","19","September 24, 2012","2012 Issue "
683,"69","An Icy Woman","Kori no yo na On'na","An Icy Woman","19","October 6, 2012","2012 Issue "
684,"69","Don't Do It, Vegapunk","Yamerunda Begapanku","Don't Do It, Vegapunk","19","October 15, 2012","2012 Issue "
685,"69","My Name is Momonosuke!!","Momonosuke, Sessha no Na ni Gozaru!!","My Name is Momonosuke","19","October 22, 2012","2012 Issue "
686,"69","The Snow Woman in the Biscuits Room","Bisuketto Rumu no Yuki-Onna","The Snow-Woman in the Biscuits Room","19","October 29, 2012","2012 Issue "
687,"69","Wild Beast","Moju","Wild Beast","19","November 5, 2012","2012 Issue "
688,"69","Mocha","Mocha","Mocha","19","November 12, 2012","2012 Issue "
689,"69","A Seemingly Non-Existent Island","Nai Yo de Aru Shima","The Island That's There but Isn't There","19","November 26, 2012","2012 Issue "
690,"69","SAD","Esu-E-Di","S.A.D.","19","December 3, 2012","2013 Issue"
691,"70","King of Shinokuni","Shi no Kuni no O","King of the Land of the Dead","21","December 10, 2012","2013 Issue"
692,"70","Assassins from Dressrosa","Doresuroza kara Kita Shikaku","Assassins from Dressrosa","19","December 17, 2012","2013 Issue"
693,"70","Die for Me","Shinde kure","Die for Me","17","December 22, 2012","2013 Issue 4"
694,"70","The Most Dangerous Man","Mottomo Kiken na Otoko","The Most Dangerous Man","17","January 4, 2013","2013 Issue 6"
695,"70","Leave It to Us!!!","Makasero!!!","Leave It to Us!!!","19","January 21, 2013","2013 Issue"
696,"70","Alignment of Interests","Rigai no Itchi","Alignment of Interests","19","January 28, 2013","2013 Issue"
697,"70","A Deal","Torihiki","A Deal","19","February 4, 2013","2013 Issue "
698,"70","Doflamingo Appears","Dofuramingo Arawaru","Enter Doflamingo","19","February 9, 2013","2013 Issue "
699,"70","Morning Edition","Chokan","Morning Edition","19","February 25, 2013","2013 Issue "
700,"70","His Own Pace","Yatsu no Pesu","His Momentum","19","March 4, 2013","2013 Issue "
701,"71","Adventure in the Land of Love, Passion, and Toys","Ai to Jonetsu to Omocha no Kuni no Boken","Adventure in the Land of Love, Passion, and Toys","19","March 11, 2013","2013 Issue "
702,"71","Corrida Colosseum","Korida Koroshiamu","Corrida Coliseum","15","March 25, 2013","2013 Issue "
703,"71","Waiting Room","Hikaeshitsu","Waiting Room","19","April 1, 2013","2013 Issue "
704,"71","Lucy and the Statue of Kyros","Rushi to Kyurosu no Zo","Lucy and the Statue of Kyros","19","April 8, 2013","2013 Issue "
705,"71","Maynard the Pursuer","Tsuigeki no Meinado","Maynard the Pursuer","19","April 15, 2013","2013 Issue "
706,"71","I Won't Laugh at You","Omae o Warawanai","I Ain't Gonna Laugh at Ya","15","April 22, 2013","2013 Issue "
707,"71","B Block","Bi Burokku","Block B","17","April 27, 2013","2013 Issue 22-"
708,"71","Colosseum of Scoundrels","Kusemono-tachi no Koroshiamu","Coliseum of Scoundrels","15","May 13, 2013","2013 Issue "
709,"71","King Punch!!","Kingu Panchi!!","King Punch!!","19","May 20, 2013","2013 Issue "
710,"71","To Green Bit","Gurin Bitto e","To Greenbit","19","June 10, 2013","2013 Issue "
711,"71","Adventure in the Land of Dwarves","Kobito no Kuni no Boken","Adventure in the Land of the Little People","19","June 17, 2013","2013 Issue "
712,"72","Violet","Vaioretto","Violet","19","July 1, 2013","2013 Issue "
713,"72","Usoland","Usorando","Usoland","19","July 8, 2013","2013 Issue "
714,"72","Lucy and Ucy","Rushi to Ushi","Lucy and Moocy","19","July 13, 2013","2013 Issue "
715,"72","Closely Contested C Block","Gekisen-ku Shi Burokku","The Battleground of Block C","19","July 22, 2013","2013 Issue "
716,"72","Don Chinjao","Don Chinjao","Don Chin Jao","19","August 5, 2013","2013 Issue "
717,"72","Dressrosa's Forgotten","Doresuroza no Wasuremono","Dressrosa's Forgotten","19","August 12, 2013","2013 Issue 37-"
718,"72","Riku Royal Army on the Flower Hill","Ohanabatake no Riku O Gun","Riku Royal Army at the Flower Field","19","August 26, 2013","2013 Issue "
719,"72","Open, Chinjao","Hirake Chinjao","Open, Chin Jao","19","September 2, 2013","2013 Issue "
720,"72","Prison-Gladiators","Shujin Kentoshi","Prison-Gladiators","19","September 9, 2013","2013 Issue "
721,"72","Rebecca and Soldier-san","Rebekka to Heitai-san","Rebecca and the Soldier","19","September 14, 2013","2013 Issue "
722,"73","Royal Bloodlines","Ozoku no Ketto","Royal Bloodlines","19","September 30, 2013","2013 Issue "
723,"73","Change of Plans","Henko Sakusen","Change of Plans","19","October 7, 2013","2013 Issue "
724,"73","Law's Plan","Ro no Sakusen","Law's Plan","19","October 12, 2013","2013 Issue "
725,"73","The Undefeated Woman","Muhai no Onna","The Undefeated Woman","17","October 21, 2013","2013 Issue "
726,"73","The Riku Family","Riku Ichizoku","The Riku Family","19","November 2, 2013","2013 Issue "
727,"73","The Lurking Hero","Machibuseru Hiro","The Hero's Ambush","19","November 11, 2013","2013 Issue "
728,"73","The Number of Tragedies","Higeki no Kazu","The Number of Tragedies","19","November 18, 2013","2013 Issue "
729,"73","Warlord Doflamingo vs. Warlord Law","Shichibukai Dofuramingo Basasu Shichibukai Ro","Warlord Doflamingo vs. Warlord Law","17","November 25, 2013","2013 Issue "
730,"73","3 Cards","San-mai no Kado","Three Cards","19","December 9, 2013","2014 Issue"
731,"73","Operation Dressrosa SOP","Doresuroza Esu-O-Pi Sakusen","Operation Dressrosa S.O.P.","19","December 16, 2013","2014 Issue"
732,"74","An Underground World","Chika no Sekai","An Underground World","19","December 21, 2013","2014 Issue 4"
733,"74","What Soldier-san Wants","Heitai-san no Hoshii Mono","What the Soldier Wants","19","January 4, 2014","2014 Issue 6"
734,"74","The Kamaitachi of Rommel","Ronmeru no Kamaitachi","The Slicing Winds of Rommel","19","January 20, 2014","2014 Issue"
735,"74","Fujitora's Intention","Fujitora no Omowaku","Fujitora's Plan","19","January 27, 2014","2014 Issue"
736,"74","Executive Officer Diamante","Saiko Kanbu Diamante","Supreme Officer Diamante","19","February 3, 2014","2014 Issue "
737,"74","Officer's Tower","Kanbu-to","Officer's Tower","19","February 10, 2014","2014 Issue "
738,"74","Trebol Army, Special Officer Sugar","Toreboru-gun Tokubetsu Kanbu Shuga","Trebol Army, Special Officer Sugar","19","February 24, 2014","2014 Issue "
739,"74","Commander","Taicho","Captain","19","March 3, 2014","2014 Issue "
740,"74","It's in Your Hands!!!","Tanomu!!!","It's in Your Hands!!!","19","March 10, 2014","2014 Issue "
741,"74","Usoland the Liar","Usotsuki Usorando","Usoland the Liar","19","March 17, 2014","2014 Issue "
742,"74","I'll Always Be By Your Side","Itsudemo Kimi no Soba ni Iru","Ever at Your Side","19","March 31, 2014","2014 Issue "
743,"75","Dressrosa Trembles","Gekishin no Doresuroza","Dressrosa Trembles","19","April 7, 2014","2014 Issue "
744,"75","Revolutionary Army Chief of Staff","Kakumei-gun Sanbo Socho","Revolutionary Army Chief of Staff","19","April 14, 2014","2014 Issue "
745,"75","The Birdcage","Torikago","The Birdcage","19","April 28, 2014","2014 Issue 22-"
746,"75","Stars","Hoshi","Stars","19","May 12, 2014","2014 Issue "
747,"75","Executive Officer Pica","Saiko Kanbu Pika","Supreme Officer Pica","19","May 19, 2014","2014 Issue "
748,"75","My Repayment","Ore no Ongaeshi","Repaying the Debt","17","May 26, 2014","2014 Issue "
749,"75","March Forward!! Army of Rascals","Susume!! Kusemono Gundan","Onward, Gallery of Rogues!!","17","June 2, 2014","2014 Issue "
750,"75","The State of the War","Senkyoku","Flashpoints","19","June 23, 2014","2014 Issue "
751,"75","Sabo vs. Admiral Fujitora","Sabo Basasu Taisho Fujitora","Sabo vs. Admiral Fujitora","17","June 30, 2014","2014 Issue "
752,"75","Palm","Tenohira","Palm","17","July 7, 2014","2014 Issue "
753,"76","Battle","Ikusa","Battle","17","July 19, 2014","2014 Issue "
754,"76","Pleased to Make Your Acquaintance","Omishirioki o","Making Acquaintance","17","July 28, 2014","2014 Issue "
755,"76","A Man's World","Otoko no Sekai","A Man's World","17","August 4, 2014","2014 Issue "
756,"76","The Fourth Step","Yondanme","The Fourth Step","19","August 11, 2014","2014 Issue 37-"
757,"76","Trump Card","Kirifuda","Trump Card","17","August 25, 2014","2014 Issue "
758,"76","Just Keep Going","Kamawazu Susume","Just Keep Going","17","September 1, 2014","2014 Issue "
759,"76","Secret Plan","Hisaku","Secret Plan","17","September 8, 2014","2014 Issue "
760,"76","The Same Bet","Onaji Kake","The Same Bet","13","September 13, 2014","2014 Issue "
761,"76","Ope Ope no Mi","Ope Ope no Mi","The Op-Op Fruit","15","September 22, 2014","2014 Issue "
762,"76","The White Town","Shiroi Machi","The White Town","17","October 6, 2014","2014 Issue "
763,"76","Declaration of Humanity","Ningen Sengen","Declaration of Humanity","17","October 11, 2014","2014 Issue "
764,"77","White Monster","Howaito Monsuta","White Monster","19","October 20, 2014","2014 Issue "
765,"77","Minion, the Isle of Fate","Unmei no Shima Minion","Minion, the Isle of Fate","17","October 27, 2014","2014 Issue "
766,"77","Smile","Sumairu","Smile","17","November 10, 2014","2014 Issue "
767,"77","Cora-san","Kora-san","Cora","17","November 17, 2014","2014 Issue "
768,"77","The Trigger That Day","Ano Hi no Hikigane","The Trigger That Day","15","November 22, 2014","2014 Issue "
769,"77","Bellamy the Pirate","Kaizoku Berami","Bellamy the Pirate","17","December 1, 2014","2015 Issue"
770,"77","The Spear of Elbaf","Erubafu no Yari","The Spear of Elbaph","17","December 15, 2014","2015 Issue"
771,"77","Sai, Don of the Happo Navy","Happo Suigun Don Sai","Sai, Don of the Happosui Army","19","December 22, 2014","2015 Issue 4"
772,"77","Cabbage & Lomeo","Kyabetsu ando Romeo","Cabbage & Lomeo","17","January 5, 2015","2015 Issue 6"
773,"77","Half & Half","Hafu ando Hafu","Half 'n Half","19","January 19, 2015","2015 Issue"
774,"77","Leo, Chief of the Tontatta Tribe Warriors","Tontatta-zoku Senshi-cho Reo","Leo, Captain of the Tontatta Warriors","15","January 26, 2015","2015 Issue"
